,0,1,2,3,4,5,6,accuracy,macro avg,weighted avg
precision,0.541025641025641,0.7142857142857143,0.4244604316546763,0.7840440165061898,0.4673913043478261,0.7666666666666667,0.5456674473067916,0.599791013584117,0.6062201745419294,0.6007796859349679
recall,0.5235732009925558,0.43478260869565216,0.45618556701030927,0.8236994219653179,0.5068762278978389,0.7529761904761905,0.4688128772635815,0.599791013584117,0.5667008706144923,0.599791013584117
f1-score,0.5321563682219419,0.5405405405405405,0.4397515527950311,0.8033826638477801,0.4863336475023563,0.7597597597597597,0.5043290043290044,0.599791013584117,0.5808933624280591,0.5988724862887277
support,403.0,46.0,388.0,692.0,509.0,336.0,497.0,0.599791013584117,2871.0,2871.0
