,0,1,2,3,4,5,6,accuracy,macro avg,weighted avg
precision,0.752207348333808,0.834319526627219,0.719626168224299,0.9112479351253941,0.694672131147541,0.864166961443226,0.7482398122466396,0.7917021441288026,0.7892114118783038,0.7908972925483622
recall,0.7352449888641426,0.7230769230769231,0.6643300080884336,0.9302468189483366,0.706086554038417,0.8617283950617284,0.7849149507609668,0.7917021441288026,0.7722326626912782,0.7917021441288026
f1-score,0.74362945234408,0.7747252747252746,0.6908734052993131,0.9206493703535124,0.7003328359921956,0.8629459554927588,0.7661387220098306,0.7917021441288026,0.779899288030995,0.7909591660003901
support,3592.0,390.0,3709.0,6523.0,4321.0,2835.0,4468.0,0.7917021441288026,25838.0,25838.0
