,0,1,2,3,4,5,6,accuracy,macro avg,weighted avg
precision,0.635483870967742,0.8333333333333334,0.49691358024691357,0.7391826923076923,0.5281954887218046,0.7633802816901408,0.5758196721311475,0.6377568791361895,0.6531869884855391,0.6305398401262714
recall,0.48883374689826303,0.5434782608695652,0.41494845360824745,0.888728323699422,0.5520628683693517,0.8065476190476191,0.5653923541247485,0.6377568791361895,0.6085702323738882,0.6377568791361895
f1-score,0.5525946704067322,0.6578947368421053,0.45224719101123595,0.8070866141732282,0.5398655139289145,0.7843704775687411,0.5705583756345177,0.6377568791361895,0.6235167970807821,0.6300390793912062
support,403.0,46.0,388.0,692.0,509.0,336.0,497.0,0.6377568791361895,2871.0,2871.0
