,0,1,2,3,4,5,6,accuracy,macro avg,weighted avg
precision,0.5301837270341208,0.5945945945945946,0.42755344418052255,0.7942779291553134,0.4888507718696398,0.775,0.610126582278481,0.61337513061651,0.602941007016096,0.6161631525383746
recall,0.5012406947890818,0.4782608695652174,0.4639175257731959,0.8424855491329479,0.5599214145383105,0.7380952380952381,0.48490945674044267,0.61337513061651,0.5812615355192049,0.61337513061651
f1-score,0.5153061224489796,0.5301204819277109,0.4449938195302843,0.817671809256662,0.5219780219780221,0.7560975609756099,0.5403587443946188,0.61337513061651,0.5895037943588411,0.6126207917581741
support,403.0,46.0,388.0,692.0,509.0,336.0,497.0,0.61337513061651,2871.0,2871.0
