,0,1,2,3,4,5,6,accuracy,macro avg,weighted avg
precision,0.5959079283887468,0.7586206896551724,0.4700665188470067,0.9013377926421404,0.5309090909090909,0.8031746031746032,0.5940409683426443,0.6513409961685823,0.664865370279915,0.6675363162283144
recall,0.5781637717121588,0.4782608695652174,0.5463917525773195,0.7789017341040463,0.5736738703339882,0.7529761904761905,0.641851106639839,0.6513409961685823,0.6214598993441085,0.6513409961685823
f1-score,0.5869017632241813,0.5866666666666667,0.5053635280095352,0.8356589147286821,0.5514636449480642,0.7772657450076804,0.6170212765957447,0.6513409961685823,0.6371916484543648,0.6570466580199199
support,403.0,46.0,388.0,692.0,509.0,336.0,497.0,0.6513409961685823,2871.0,2871.0
