,0,1,2,3,4,5,6,accuracy,macro avg,weighted avg
precision,0.7198752480861922,0.8369905956112853,0.7008469449485784,0.8877005347593583,0.6666666666666666,0.8485061511423551,0.7370338619802829,0.7707252883350104,0.7710885718849598,0.7694627692138214
recall,0.7068485523385301,0.6846153846153846,0.6246966837422486,0.916142879043385,0.6854894700300856,0.8514991181657848,0.7696956132497762,0.7707252883350104,0.7484268144550279,0.7707252883350104
f1-score,0.7133024301165893,0.7531734837799718,0.6605844618674269,0.9016974726518294,0.6759470561387494,0.8500000000000001,0.753010729143858,0.7707252883350104,0.7582450905283464,0.7695165855800543
support,3592.0,390.0,3709.0,6523.0,4321.0,2835.0,4468.0,0.7707252883350104,25838.0,25838.0
