,0,1,2,3,4,5,6,accuracy,macro avg,weighted avg
precision,0.5994694960212201,0.7916666666666666,0.5213414634146342,0.8394698085419735,0.47058823529411764,0.8187702265372169,0.5667396061269147,0.6360153256704981,0.6582922146575348,0.6469879000367221
recall,0.5607940446650124,0.41304347826086957,0.44072164948453607,0.8236994219653179,0.6444007858546169,0.7529761904761905,0.5211267605633803,0.6360153256704981,0.5938231901814176,0.6360153256704981
f1-score,0.5794871794871794,0.5428571428571429,0.4776536312849162,0.8315098468271334,0.5439469320066335,0.7844961240310078,0.5429769392033542,0.6360153256704981,0.6147039708139097,0.637254757818721
support,403.0,46.0,388.0,692.0,509.0,336.0,497.0,0.6360153256704981,2871.0,2871.0
