,0,1,2,3,4,5,6,accuracy,macro avg,weighted avg
precision,0.5850877192982457,0.6175298804780877,0.5245451424648129,0.8376594808622966,0.5261389880327525,0.7623866015352407,0.6054931335830213,0.6578295533710039,0.6369772780363511,0.6537742229144429
recall,0.5570712694877505,0.3974358974358974,0.4119708816392559,0.8756707036639583,0.5799583429761629,0.7707231040564374,0.6512981199641898,0.6578295533710039,0.6063040456033788,0.6578295533710039
f1-score,0.5707358813462635,0.4836193447737909,0.4614919963757173,0.8562434417628542,0.5517393218846323,0.7665321873355552,0.6275609230105673,0.6578295533710039,0.61684615664134,0.6539504288414429
support,3592.0,390.0,3709.0,6523.0,4321.0,2835.0,4468.0,0.6578295533710039,25838.0,25838.0
