,0,1,2,3,4,5,6,accuracy,macro avg,weighted avg
precision,0.6005434782608695,0.7857142857142857,0.54858934169279,0.8338150289017341,0.5668103448275862,0.7658959537572254,0.5198776758409785,0.6489028213166145,0.6601780155707814,0.6521216490182603
recall,0.5483870967741935,0.4782608695652174,0.45103092783505155,0.8338150289017341,0.5166994106090373,0.7886904761904762,0.6841046277665996,0.6489028213166145,0.6144269196631872,0.6489028213166145
f1-score,0.5732814526588844,0.5945945945945946,0.49504950495049505,0.8338150289017341,0.5405960945529291,0.7771260997067448,0.5907906168549087,0.6489028213166145,0.6293219131743273,0.6469396387667958
support,403.0,46.0,388.0,692.0,509.0,336.0,497.0,0.6489028213166145,2871.0,2871.0
