,0,1,2,3,4,5,6,accuracy,macro avg,weighted avg
precision,0.7886293273290177,0.8241469816272966,0.7740835464620631,0.9125526791089705,0.7571855598988273,0.8875614898102601,0.8000439947206335,0.8266506695564673,0.8206005112795812,0.8259332402896042
recall,0.7800668151447662,0.8051282051282052,0.7344297654354274,0.9294803004752414,0.762092108308262,0.891005291005291,0.8140107430617726,0.8266506695564673,0.8166018897941381,0.8266506695564673
f1-score,0.7843247025892232,0.814526588845655,0.7537354731599336,0.9209387104123945,0.7596309111880045,0.8892800563281114,0.8069669403150653,0.8266506695564673,0.8184861975483411,0.8261804394915169
support,3592.0,390.0,3709.0,6523.0,4321.0,2835.0,4468.0,0.8266506695564673,25838.0,25838.0
