,0,1,2,3,4,5,6,accuracy,macro avg,weighted avg
precision,0.5428571428571428,0.75,0.4897959183673469,0.8268698060941828,0.5461689587426326,0.7952522255192879,0.55078125,0.6415882967607106,0.6431036145115133,0.638958265322053
recall,0.56575682382134,0.45652173913043476,0.4329896907216495,0.8627167630057804,0.5461689587426326,0.7976190476190477,0.5674044265593562,0.6415882967607106,0.6041682070857488,0.6415882967607106
f1-score,0.5540704738760631,0.5675675675675675,0.45964432284541723,0.8444130127298445,0.5461689587426326,0.7964338781575038,0.5589692765113975,0.6415882967607106,0.6181810700614895,0.6393186432045703
support,403.0,46.0,388.0,692.0,509.0,336.0,497.0,0.6415882967607106,2871.0,2871.0
