,0,1,2,3,4,5,6,accuracy,macro avg,weighted avg
precision,0.9409955257270693,0.9596774193548387,0.923013923013923,0.9800335314738607,0.9239981575310917,0.9668430335097001,0.9492091779906437,0.9500348324173697,0.9491101098001611,0.9499655598024886
recall,0.936804008908686,0.9153846153846154,0.9115664599622539,0.9857427564004293,0.928488775746355,0.9668430335097001,0.9536705461056401,0.9500348324173697,0.9426428851453829,0.9500348324173697
f1-score,0.9388950892857143,0.9370078740157479,0.9172544763971786,0.9828798532558851,0.9262380237792913,0.9668430335097001,0.951434632131294,0.9500348324173697,0.9457932831964015,0.9499826149252512
support,3592.0,390.0,3709.0,6523.0,4321.0,2835.0,4468.0,0.9500348324173697,25838.0,25838.0
