,0,1,2,3,4,5,6,accuracy,macro avg,weighted avg
precision,0.5592417061611374,0.7857142857142857,0.43855421686746987,0.7897503285151117,0.5397196261682243,0.7647058823529411,0.5911949685534591,0.6318355973528388,0.6384115734760899,0.628236117646853
recall,0.5856079404466501,0.4782608695652174,0.4690721649484536,0.8684971098265896,0.4538310412573674,0.7738095238095238,0.5674044265593562,0.6318355973528388,0.5994975823447369,0.6318355973528388
f1-score,0.5721212121212121,0.5945945945945946,0.4533001245330013,0.8272539573296627,0.4930629669156884,0.7692307692307693,0.5790554414784395,0.6318355973528388,0.6126598666004811,0.628170508416419
support,403.0,46.0,388.0,692.0,509.0,336.0,497.0,0.6318355973528388,2871.0,2871.0
