,0,1,2,3,4,5,6,accuracy,macro avg,weighted avg
precision,0.9866518353726362,0.9870801033591732,0.9814066289409863,0.9964750957854406,0.9854132901134521,0.9904492394764768,0.9906103286384976,0.9892793559873055,0.9882980745266662,0.9892793652129412
recall,0.987750556792873,0.9794871794871794,0.9819358317605824,0.9967806224130001,0.9849571858366118,0.9876543209876543,0.9917188898836168,0.9892793559873055,0.9871835124516455,0.9892793559873055
f1-score,0.9872008903728436,0.9832689832689833,0.9816711590296496,0.9966278356836297,0.9851851851851852,0.9890498057223596,0.9911642992953807,0.9892793559873055,0.9877383083654331,0.9892788016239368
support,3592.0,390.0,3709.0,6523.0,4321.0,2835.0,4468.0,0.9892793559873055,25838.0,25838.0
