,0,1,2,3,4,5,6,accuracy,macro avg,weighted avg
precision,0.7614015572858732,0.8434782608695652,0.7322562031159838,0.9166541070082894,0.713504896378957,0.8797736916548797,0.7780205374699585,0.8062156513662048,0.8035841791119296,0.8055032412490546
recall,0.762249443207127,0.7461538461538462,0.6842814774871934,0.9323930706730033,0.7250636426753067,0.8776014109347443,0.7970008952551477,0.8062156513662048,0.7892491123409099,0.8062156513662048
f1-score,0.7618252643294379,0.7918367346938776,0.7074564459930313,0.9244566043471653,0.7192378328741966,0.8786862087232915,0.787396351575456,0.8062156513662048,0.7958422060766367,0.8056532255114844
support,3592.0,390.0,3709.0,6523.0,4321.0,2835.0,4468.0,0.8062156513662048,25838.0,25838.0
