,0,1,2,3,4,5,6,accuracy,macro avg,weighted avg
precision,0.7295918367346939,0.8368580060422961,0.7002923976608187,0.8984855300644774,0.684785030073513,0.8623265741728922,0.7479302832244009,0.780594473256444,0.7800385225675844,0.779885384844667
recall,0.7165924276169265,0.7102564102564103,0.6457266109463468,0.9185957381572896,0.7114093959731543,0.855026455026455,0.7683527305282005,0.780594473256444,0.7608513955006834,0.780594473256444
f1-score,0.7230337078651686,0.7683772538141471,0.6719034927759855,0.908429351121892,0.6978433598183882,0.8586609989373007,0.758003974387282,0.780594473256444,0.7694645912457379,0.7798988221626408
support,3592.0,390.0,3709.0,6523.0,4321.0,2835.0,4468.0,0.780594473256444,25838.0,25838.0
