,0,1,2,3,4,5,6,accuracy,macro avg,weighted avg
precision,0.7668437237908862,0.8571428571428571,0.7375552282768778,0.9138164833509116,0.7130553037171351,0.8726382085374388,0.7748215444516547,0.8058673271925072,0.8051247641811088,0.8050990626942832
recall,0.763641425389755,0.7384615384615385,0.6751145861418172,0.9297869078644795,0.7280722055079842,0.8797178130511464,0.8017009847806625,0.8058673271925072,0.7880707801710549,0.8058673271925072
f1-score,0.7652392244385547,0.793388429752066,0.7049549549549551,0.9217325227963525,0.7204855147143021,0.8761637098190761,0.7880321196788032,0.8058673271925072,0.7957137823077299,0.8051462765329206
support,3592.0,390.0,3709.0,6523.0,4321.0,2835.0,4468.0,0.8058673271925072,25838.0,25838.0
