,0,1,2,3,4,5,6,accuracy,macro avg,weighted avg
precision,0.9773995535714286,0.979328165374677,0.9696969696969697,0.9909744531130488,0.9724600786854894,0.9816059426954369,0.9790459206419974,0.9796810898676368,0.9786444405398641,0.979670238414629
recall,0.9752227171492205,0.9717948717948718,0.966298193583176,0.9931013337421432,0.9724600786854894,0.9788359788359788,0.9829901521933752,0.9796810898676368,0.977243332283465,0.9796810898676368
f1-score,0.9763099219620959,0.9755469755469756,0.9679945982444295,0.9920367534456355,0.9724600786854896,0.9802190038855528,0.9810140719231628,0.9796810898676368,0.9779402005276202,0.979673659615058
support,3592.0,390.0,3709.0,6523.0,4321.0,2835.0,4468.0,0.9796810898676368,25838.0,25838.0
