,0,1,2,3,4,5,6,accuracy,macro avg,weighted avg
precision,0.5724465558194775,0.7419354838709677,0.5016077170418006,0.7872628726287263,0.498046875,0.7653958944281525,0.5493230174081238,0.6273075583420411,0.630859773742464,0.6227541330126466
recall,0.598014888337469,0.5,0.4020618556701031,0.8395953757225434,0.5009823182711198,0.7767857142857143,0.5714285714285714,0.6273075583420411,0.5984098176736458,0.6273075583420411
f1-score,0.5849514563106797,0.5974025974025974,0.4463519313304721,0.8125874125874126,0.49951028403525954,0.7710487444608568,0.5601577909270217,0.6273075583420411,0.6102871738649,0.6236267955569352
support,403.0,46.0,388.0,692.0,509.0,336.0,497.0,0.6273075583420411,2871.0,2871.0
