,0,1,2,3,4,5,6,accuracy,macro avg,weighted avg
precision,0.6527777777777778,0.7941176470588235,0.6456310679611651,0.8200270635994588,0.5564924114671164,0.7726027397260274,0.5644599303135889,0.6746778126088471,0.6865869482719941,0.6760530065968194
recall,0.5831265508684863,0.5869565217391305,0.3427835051546392,0.8757225433526011,0.6483300589390962,0.8392857142857143,0.6519114688128773,0.6746778126088471,0.6468737661646493,0.6746778126088471
f1-score,0.6159895150720839,0.675,0.4478114478114478,0.8469601677148848,0.5989110707803993,0.804564907275321,0.6050420168067228,0.6746778126088471,0.6563255893515514,0.6670242001422028
support,403.0,46.0,388.0,692.0,509.0,336.0,497.0,0.6746778126088471,2871.0,2871.0
