,0,1,2,3,4,5,6,accuracy,macro avg,weighted avg
precision,0.6446469248291572,0.6545454545454545,0.6898954703832753,0.8374070138150903,0.5155096011816839,0.773972602739726,0.5851063829787234,0.6779047088325438,0.6715833500675872,0.6818972179390574
recall,0.5763747454175153,0.6545454545454545,0.375,0.8964732650739476,0.5875420875420876,0.8149038461538461,0.7028753993610224,0.6779047088325438,0.6582449711562678,0.6779047088325438
f1-score,0.6086021505376344,0.6545454545454545,0.48588957055214715,0.865934065934066,0.5491738788355625,0.7939110070257612,0.6386066763425254,0.6779047088325438,0.6566661148247359,0.6711544818788012
support,491.0,55.0,528.0,879.0,594.0,416.0,626.0,0.6779047088325438,3589.0,3589.0
